"Back-end Developer | Php","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Mobile Developer | Android","Junior","0 - 1 Yıl","Kurumsal","Ankara","2.000 TL ve aşağısı"
"Mobile Developer | Android","Senior","5 - 7 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Mobile Developer | iOS","Junior","1 - 3 Yıl","Kurumsal","İzmir","2.000 TL - 3.000 TL"
"Mobile Developer | Android","Senior","5 - 7 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Software Architect","Senior","10+","Kurumsal","İstanbul","12.500 TL - 15.000 TL"
"System Engineer","Senior","5 - 7 Yıl","Kurumsal","Ankara","5.000 TL - 7.500 TL"
"Software Development Team Lead","Senior","7 - 10 Yıl","Startup","İstanbul","10.000 TL - 12.500 TL"
"Front-end Developer","Junior","1 - 3 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Front-end Developer","Junior","0 - 1 Yıl","Kurumsal","İstanbul","3.000 TL - 4.000 TL"
"Mobile Developer | iOS","Senior","1 - 3 Yıl","Dijital / Reklam Ajansı","İstanbul","5.000 TL - 7.500 TL"
